statefip,Mean_Index,year_anes,state_anes,Join_year,Trump_2015,value,Explicit_value,hate_crimes_per_100000,Value,state
4,-0.3031687467526218,2020,arizona,2020,1,0.22279207599303402,3.7908584083517884,0,-0.08037667075958776,Arizona
5,0.6843607997812318,1994,arkansas,1994,0,NA,NA,0.12797515575642915,0.8123359555376609,Arkansas
5,0.4389232350984755,2000,arkansas,2000,0,NA,NA,0,0.4389232350984755,Arkansas
5,0.12220377950141192,2002,arkansas,2002,0,NA,NA,0,0.12220377950141192,Arkansas
5,-0.1253272198831258,2004,arkansas,2004,0,0.6176357728132229,NA,0.26194801005580987,0.7542565629859069,Arkansas
5,0.14960416676958796,2012,arkansas,2012,0,0.3402509596941733,3.8552036199095023,0,0.4898551264637613,Arkansas
5,-0.0037507536338180574,2016,arkansas,2016,1,0.27298850447407763,3.8199023199023197,0,0.2692377508402596,Arkansas
5,-0.3164965658229633,2020,arkansas,2020,1,0.3294362226441538,3.904283875712447,0,0.01293965682119047,Arkansas
6,0.2541655704589647,1994,california,1994,0,NA,NA,0.5889137425444781,0.8430793130034429,California
6,0.319148701235936,1998,california,1998,0,NA,NA,0.8783227817377646,1.1974714829737005,California
6,-0.042007260343254985,2000,california,2000,0,NA,NA,0.5695792727446578,0.5275720124014028,California
6,-0.004440145970053824,2002,california,2002,0,NA,NA,0.40136156006877444,0.3969214140987206,California
6,0.08282441630359033,2004,california,2004,0,0.20883619979501958,NA,0.3511913650601777,0.6428519811587876,California
6,0.0513516949201899,2008,california,2008,0,0.22735575163632782,3.7613974352843877,0.18297365238429425,0.461681098940812,California
6,0.19233925077383768,2012,california,2012,0,0.22117530416708361,3.7801113574909113,0.14458077906174732,0.5580953340026686,California
6,-0.22931131635522342,2016,california,2016,1,0.1151575140374132,3.6341797577217383,0.15796788823413133,0.043814085916321105,California
6,-0.6259291844390468,2020,california,2020,1,0.08608435691437585,3.5017809609184845,0,-0.5398448275246709,California
8,0.029586188732531153,1994,colorado,1994,0,NA,NA,0.6397063930429189,0.66929258177545,Colorado
8,0.6888353415423846,1998,colorado,1998,0,NA,NA,0.27415988273267955,0.9629952242750641,Colorado
8,-0.07386795794604133,2000,colorado,2000,0,NA,NA,0.32551841132134435,0.251650453375303,Colorado
8,0.25307889603125616,2002,colorado,2002,0,NA,NA,0.16275920566067217,0.41583810169192836,Colorado
8,0.22746235752207322,2004,colorado,2004,0,0.2772300957050464,NA,0.18601052075505392,0.6907029739821735,Colorado
8,0.19044605544075918,2008,colorado,2008,0,0.3990587743079592,4.057345732410611,0.18601052075505392,0.7755153505037723,Colorado
8,0.2630148108961191,2012,colorado,2012,0,0.3120263219233451,3.9760156023071493,0.05941687094516991,0.6344580037646341,Colorado
8,-0.06487583194810714,2016,colorado,2016,1,0.277120600816087,3.9248900950000754,0.05941687094516991,0.2716616398131498,Colorado
8,-0.5155761385398675,2020,colorado,2020,1,0.2407406215795483,3.8771024098114726,0,-0.2748355169603192,Colorado
9,0.4796505142084888,1994,connecticut,1994,0,NA,NA,0.12187207697440382,0.6015225911828926,Connecticut
9,0.7034636511461536,1998,connecticut,1998,0,NA,NA,0.24374415394880763,0.9472078050949613,Connecticut
9,0.22564867659488605,2000,connecticut,2000,0,NA,NA,0.14671068769754594,0.372359364292432,Connecticut
9,0.12644510272228657,2002,connecticut,2002,0,NA,NA,0.2640792378555827,0.3905243405778692,Connecticut
9,-0.0338031528838009,2004,connecticut,2004,0,0.26483706927782386,NA,0.14671068769754594,0.3777446040915689,Connecticut
9,-0.20490366377460442,2008,connecticut,2008,0,0.30293268318491057,4.086893459915611,0.17605282523705512,0.2740818446473613,Connecticut
9,0.2925793272963556,2012,connecticut,2012,0,0.3100061566410507,4.04881908454326,0.16773490504666805,0.7703203889840744,Connecticut
9,-0.22568137845281844,2016,connecticut,2016,1,0.2344486291792483,3.9916209238498395,0.3354698100933361,0.34423706081976596,Connecticut
9,-0.6022951270388388,2020,connecticut,2020,1,0.2010870613263971,3.8824026422920346,0,-0.4012080657124417,Connecticut
10,-0.2820865261266504,2000,delaware,2000,0,NA,NA,0.6383934955363527,0.3563069694097023,Delaware
10,1.006796279089906,2002,delaware,2002,0,NA,NA,0.12767869910727053,1.1344749781971766,Delaware
10,-0.07405792038383643,2008,delaware,2008,0,0.38738133987057255,4.072089947089947,0.12767869910727053,0.4410021185940066,Delaware
10,0.2378984289914876,2012,delaware,2012,0,0.3951110144695788,4.34167921686747,0.11113963695126194,0.7441490804123283,Delaware
10,-0.494521497885238,2016,delaware,2016,1,0.25692239805768446,3.7985576923076922,0.11113963695126194,-0.12645946287629162,Delaware
10,-0.8318341741701206,2020,delaware,2020,1,0.3177544489826222,3.8931598062953996,0,-0.5140797251874984,Delaware
11,-1.174811301977778,1998,district of columbia,1998,0,NA,NA,0.16397044596681895,-1.010840856010959,District of Columbia
11,-0.08857154404031176,2000,district of columbia,2000,0,NA,NA,0.1749007001275026,0.08632915608719086,District of Columbia
11,0.6964420625363442,2002,district of columbia,2002,0,NA,NA,0,0.6964420625363442,District of Columbia
11,0.40434397636828623,2004,district of columbia,2004,0,0.15151687249601636,NA,0.3498014002550052,0.9056622491193078,District of Columbia
11,0.49579849620423777,2008,district of columbia,2008,0,0.291156362710228,4.139055513142109,0.1749007001275026,0.9618555590419684,District of Columbia
11,-0.58148706444891,2012,district of columbia,2012,0,0.1998803939272472,4.067245254745254,0.4963165043435966,0.11470983382193384,District of Columbia
11,-0.6245193717861686,2016,district of columbia,2016,1,0.12315116109115025,3.8983151983151982,0.3308776695623977,-0.17049054113262058,District of Columbia
11,-0.8495850182321231,2020,district of columbia,2020,1,0.12960437798308042,3.8110770076503737,0,-0.7199806402490426,District of Columbia
12,0.5208535862591046,1994,florida,1994,0,NA,NA,0.01547639876272382,0.5363299850218284,Florida
12,0.7486024350663548,1998,florida,1998,0,NA,NA,0.03095279752544764,0.7795552325918025,Florida
12,0.12341784825135693,2000,florida,2000,0,NA,NA,0.00625512529328718,0.1296729735446441,Florida
12,0.15618437350093187,2002,florida,2002,0,NA,NA,0.01876537587986155,0.1749497493807934,Florida
12,0.4492996974425889,2004,florida,2004,0,0.2763579258389717,NA,0.03753075175972312,0.7631883750412837,Florida
